tripdate,dailyPickups,notes
2014-01-01,99,New Year's Day
2014-01-02,,Winter Storm 
2014-01-03,,Winter Storm 
2014-01-06,,
2014-01-20,323,Martin Luther King Jr. Day
2014-04-03,971,Minnesota Twins 10 Chicago White Sox 9
2014-05-15,970,Chicago Favorite Food Tour
2014-05-26,121,Memorial Day
2014-06-10,972,"30,000 Catfish being released into Chicago River"
2014-07-04,117,Independence Day
2014-09-01,136,Labor Day
2014-11-27,113,Thanksgiving Day
2014-11-28,189,Black Friday
2014-12-23,375,
2014-12-24,238,Christmas Eve
2014-12-25,47,Christmas Day
2014-12-26,149,
2014-12-29,366,
2014-12-30,381,
2014-12-31,351,New Year's Eve
2015-01-01,93,New Year's Day
2015-01-02,276,
2015-01-05,,
2015-01-19,349,Martin Luther King Jr. Day
2015-05-25,92,Memorial Day
2015-07-03,179,Independence Day
2015-09-07,114,Labor Day
2015-11-25,319,
2015-11-26,78,Thanksgiving Day
2015-11-27,180,Black Friday
2015-12-23,339,
2015-12-24,145,Christmas Eve
2015-12-25,50,Christmas Day
2015-12-28,348,Winter storm
2015-12-29,312,Winter storm
2015-12-30,342,
2015-12-31,236,New Year's Eve